Entry	Entry Name
Q9SHH8	GSTUQ_ARATH
Q9SIA8	DIR10_ARATH
Q9SIY8	LAC5_ARATH
Q9SP06	C80B3_PAPSO
Q9SS45	PAL4_ARATH
Q9SWR5	C93C1_SOYBN
Q9SZU1	C81F4_ARATH
Q9T030	PBER1_ARATH
Q9ZPY2	LAC6_ARATH
Q9ZRT5	GSTT1_ARATH
Q9ZWB7	PCS2_ARATH
S5DQS6	PFMT1_OCIBA
V4K0V1	V4K0V1_EUTSA
V4KHY4	V4KHY4_EUTSA
V4L9U4	V4L9U4_EUTSA
V7AF72	V7AF72_PHAVU
W1NKQ3	W1NKQ3_AMBTC
W5DYE3	DMS1A_WHEAT
A0A022PRX8	A0A022PRX8_ERYGU
A0A022Q819	A0A022Q819_ERYGU
A0A022QCS2	A0A022QCS2_ERYGU
A0A022QFB2	A0A022QFB2_ERYGU
A0A022QG95	A0A022QG95_ERYGU
A0A022RBJ3	A0A022RBJ3_ERYGU
A0A022RLD6	A0A022RLD6_ERYGU
A0A022RMJ4	A0A022RMJ4_ERYGU
A0A022RPY4	A0A022RPY4_ERYGU
A0A022RS36	A0A022RS36_ERYGU
A0A022RS41	A0A022RS41_ERYGU
A0A022RS82	A0A022RS82_ERYGU
A0A022RSG9	A0A022RSG9_ERYGU
A0A022RU64	A0A022RU64_ERYGU
A0A023GS28	DIOX1_RUTGR
A0A023GS29	DIOX2_RUTGR
A0A058ZT69	A0A058ZT69_EUCGR
A0A058ZTN6	A0A058ZTN6_EUCGR
A0A058ZV24	A0A058ZV24_EUCGR
A0A058ZVG8	A0A058ZVG8_EUCGR
A0A058ZVJ3	A0A058ZVJ3_EUCGR
A0A059A669	A0A059A669_EUCGR
A0A059A6Z5	A0A059A6Z5_EUCGR
A0A059A808	A0A059A808_EUCGR
A0A059A818	A0A059A818_EUCGR
A0A059A9W4	A0A059A9W4_EUCGR
A0A059AAR1	A0A059AAR1_EUCGR
A0A059AGH9	A0A059AGH9_EUCGR
A0A059B1C5	A0A059B1C5_EUCGR
A0A059B4K0	A0A059B4K0_EUCGR
A0A059B8P4	A0A059B8P4_EUCGR
A0A059BJ59	A0A059BJ59_EUCGR
A0A059BSL0	A0A059BSL0_EUCGR
A0A059BT04	A0A059BT04_EUCGR
A0A059BT09	A0A059BT09_EUCGR
A0A059BT38	A0A059BT38_EUCGR
A0A059BTX8	A0A059BTX8_EUCGR
A0A059BTY3	A0A059BTY3_EUCGR
A0A059BYL7	A0A059BYL7_EUCGR
A0A059C9X9	A0A059C9X9_EUCGR
A0A059CAT8	A0A059CAT8_EUCGR
A0A059CB59	A0A059CB59_EUCGR
A0A059CB68	A0A059CB68_EUCGR
A0A059CC14	A0A059CC14_EUCGR
A0A059D2M0	A0A059D2M0_EUCGR
A0A059D4G0	A0A059D4G0_EUCGR
A0A059D4W9	A0A059D4W9_EUCGR
A0A059D5T5	A0A059D5T5_EUCGR
A0A059D639	A0A059D639_EUCGR
A0A059D6E6	A0A059D6E6_EUCGR
A0A059D6J0	A0A059D6J0_EUCGR
A0A059D6L4	A0A059D6L4_EUCGR
A0A059D6Q6	A0A059D6Q6_EUCGR
A0A059D760	A0A059D760_EUCGR
A0A059D798	A0A059D798_EUCGR
A0A059DAF0	A0A059DAF0_EUCGR
A0A059DEJ3	A0A059DEJ3_EUCGR
A0A059Q0Q2	A0A059Q0Q2_9POAL
A0A059Q236	A0A059Q236_9POAL
A0A059Q2M4	A0A059Q2M4_9POAL
A0A059Q339	A0A059Q339_9POAL
A0A061DH21	A0A061DH21_THECC
A0A061DWT7	A0A061DWT7_THECC
A0A061DZ50	A0A061DZ50_THECC
A0A061EQZ3	A0A061EQZ3_THECC
A0A061ER06	A0A061ER06_THECC
A0A061ER66	A0A061ER66_THECC
