Entry	Entry Name
G7IZC8	G7IZC8_MEDTR
I1HMN3	I1HMN3_BRADI
I1HWP9	I1HWP9_BRADI
I1I9M8	I1I9M8_BRADI
I1KU18	I1KU18_SOYBN
I1NWT0	I1NWT0_ORYGL
I7AI68	I7AI68_EUTSA
J3L973	J3L973_ORYBR
K3YRQ5	K3YRQ5_SETIT
K3YSC4	K3YSC4_SETIT
K3ZV56	K3ZV56_SETIT
M1BXJ9	M1BXJ9_SOLTU
M2TBA0	M2TBA0_COCSN
M2VBJ1	M2VBJ1_COCH5
M2W921	M2W921_GALSU
M4CAU1	M4CAU1_BRACM
M4CKU7	M4CKU7_BRACM
M4CKV1	M4CKV1_BRACM
M4CKV2	M4CKV2_BRACM
M4CKV4	M4CKV4_BRACM
M4CMW3	M4CMW3_BRACM
M4CTG4	M4CTG4_BRACM
M4CTG7	M4CTG7_BRACM
M4CVI3	M4CVI3_BRACM
M4DCU0	M4DCU0_BRACM
M4DR01	M4DR01_BRACM
M4DR26	M4DR26_BRACM
M4DZ68	M4DZ68_BRACM
M4E532	M4E532_BRACM
M4EBL9	M4EBL9_BRACM
M4ELT5	M4ELT5_BRACM
M4ENL6	M4ENL6_BRACM
M4F5U1	M4F5U1_BRACM
M4F984	M4F984_BRACM
M4F985	M4F985_BRACM
M4FIJ4	M4FIJ4_BRACM
N4XD36	N4XD36_COCH4
O80512	O80512_ARATH
Q9S7W4	Q9S7W4_ARATH
R0G4H0	R0G4H0_9BRAS
R0HYK2	R0HYK2_9BRAS
R0I1Z6	R0I1Z6_9BRAS
R0I6K6	R0I6K6_9BRAS
U5GQX5	U5GQX5_POPTR
U5GR11	U5GR11_POPTR
V4K1I3	V4K1I3_EUTSA
V4KCY6	V4KCY6_EUTSA
V4KD20	V4KD20_EUTSA
V4KD85	V4KD85_EUTSA
V4KKG0	V4KKG0_EUTSA
V4KM91	V4KM91_EUTSA
V4KMG6	V4KMG6_EUTSA
V4KP66	V4KP66_EUTSA
V4KTD4	V4KTD4_EUTSA
V4KWG4	V4KWG4_EUTSA
V4KYH3	V4KYH3_EUTSA
V4KZD2	V4KZD2_EUTSA
V4L002	V4L002_EUTSA
V4L2F8	V4L2F8_EUTSA
V4L3N4	V4L3N4_EUTSA
V4L4L9	V4L4L9_EUTSA
V4L594	V4L594_EUTSA
V4L743	V4L743_EUTSA
V4L776	V4L776_EUTSA
V4LF60	V4LF60_EUTSA
V4LH22	V4LH22_EUTSA
V4LLI9	V4LLI9_EUTSA
V4LLJ7	V4LLJ7_EUTSA
V4LVU4	V4LVU4_EUTSA
V4M619	V4M619_EUTSA
V4MAD9	V4MAD9_EUTSA
V4MD02	V4MD02_EUTSA
V4MDK6	V4MDK6_EUTSA
